"Index","Time","Delta","Appliance","State"
"10197","2014-08-24 16:59:42+00:00","-1539","microwave","OFF"
"10204","2014-08-24 17:00:24+00:00","98","fridge","ON"
"10207","2014-08-24 17:00:42+00:00","-98","fridge","OFF"
"10213","2014-08-24 17:01:18+00:00","1603","microwave","ON"
"10218","2014-08-24 17:01:48+00:00","-101","fridge","OFF"
"10227","2014-08-24 17:02:42+00:00","-1527","microwave","OFF"
"10239","2014-08-24 17:03:54+00:00","1598","microwave","ON"
"10250","2014-08-24 17:05:00+00:00","-1595","microwave","OFF"
"10262","2014-08-24 17:06:12+00:00","1580","microwave","ON"
"10269","2014-08-24 17:06:54+00:00","-109","dishwasher","OFF"
"10275","2014-08-24 17:07:30+00:00","-1518","microwave","OFF"
"10280","2014-08-24 17:08:00+00:00","168","dishwasher","ON"
"10281","2014-08-24 17:08:06+00:00","-153","dishwasher","OFF"
"10287","2014-08-24 17:08:42+00:00","1570","microwave","ON"
"10299","2014-08-24 17:09:54+00:00","-1595","microwave","OFF"
"10312","2014-08-24 17:11:12+00:00","1568.5","microwave","ON"
"10325","2014-08-24 17:12:30+00:00","-1526","microwave","OFF"
"10337","2014-08-24 17:13:42+00:00","1582","microwave","ON"
"10348","2014-08-24 17:14:48+00:00","-1588","microwave","OFF"
"10363","2014-08-24 17:16:18+00:00","1582","microwave","ON"
"10366","2014-08-24 17:16:36+00:00","94","fridge","ON"
"10374","2014-08-24 17:17:24+00:00","-1563","microwave","OFF"
"10386","2014-08-24 17:18:36+00:00","1607","microwave","ON"
"10399","2014-08-24 17:19:54+00:00","-1408","microwave","OFF"
"10401","2014-08-24 17:20:06+00:00","-167","dishwasher","OFF"
"10412","2014-08-24 17:21:12+00:00","1566","microwave","ON"
"10423","2014-08-24 17:22:18+00:00","-1506","microwave","OFF"
"10436","2014-08-24 17:23:36+00:00","1563","microwave","ON"
"10448","2014-08-24 17:24:48+00:00","-1593","microwave","OFF"
"10462","2014-08-24 17:26:12+00:00","1611","microwave","ON"
"10473","2014-08-24 17:27:18+00:00","-1500","microwave","OFF"
"10486","2014-08-24 17:28:36+00:00","1592","microwave","ON"
"10498","2014-08-24 17:29:48+00:00","-1082","microwave","OFF"
"10512","2014-08-24 17:31:12+00:00","1615","microwave","ON"
"10523","2014-08-24 17:32:18+00:00","-1519","microwave","OFF"
"10536","2014-08-24 17:33:36+00:00","1597","microwave","ON"
"10548","2014-08-24 17:34:48+00:00","-1530","microwave","OFF"
"10561","2014-08-24 17:36:06+00:00","1551","microwave","ON"
"10573","2014-08-24 17:37:18+00:00","-1473","microwave","OFF"
"10586","2014-08-24 17:38:36+00:00","1552","microwave","ON"
"10597","2014-08-24 17:39:42+00:00","-1513","microwave","OFF"
"10610","2014-08-24 17:41:00+00:00","1608","microwave","ON"
"10612","2014-08-24 17:41:12+00:00","2252","microwave","ON"
"10614","2014-08-24 17:41:24+00:00","-97","fridge","OFF"
"10621","2014-08-24 17:42:06+00:00","113","dishwasher","ON"
"10622","2014-08-24 17:42:12+00:00","-1643","microwave","OFF"
"10623","2014-08-24 17:42:18+00:00","110","dishwasher","ON"
"10624","2014-08-24 17:42:24+00:00","-114","dishwasher","OFF"
"10635","2014-08-24 17:43:30+00:00","1661","microwave","ON"
"10646","2014-08-24 17:44:36+00:00","-1540","microwave","OFF"
"10660","2014-08-24 17:46:00+00:00","1626","microwave","ON"
"10666","2014-08-24 17:46:36+00:00","115","dishwasher","ON"
"10671","2014-08-24 17:47:06+00:00","-1674","microwave","OFF"
"10674","2014-08-24 17:47:24+00:00","-105","dishwasher","OFF"
"10675","2014-08-24 17:47:30+00:00","135","dishwasher","ON"
"10676","2014-08-24 17:47:36+00:00","-93","fridge","OFF"
"10714","2014-08-24 17:51:24+00:00","-2105","microwave","OFF"
"10728","2014-08-24 17:52:48+00:00","2045","microwave","ON"
"10741","2014-08-24 17:54:06+00:00","94","fridge","ON"
"10743","2014-08-24 17:54:18+00:00","-2124","microwave","OFF"
"10763","2014-08-24 17:56:18+00:00","2052","microwave","ON"
"10774","2014-08-24 17:57:24+00:00","-2035","microwave","OFF"
"10796","2014-08-24 17:59:36+00:00","2041","microwave","ON"
"10808","2014-08-24 18:00:48+00:00","-2023","microwave","OFF"
"10829","2014-08-24 18:02:54+00:00","2004","microwave","ON"
"10847","2014-08-24 18:04:42+00:00","-1913","microwave","OFF"
"10864","2014-08-24 18:06:24+00:00","2070","microwave","ON"
"10867","2014-08-24 18:06:42+00:00","-91","fridge","OFF"
"10875","2014-08-24 18:07:30+00:00","-2109","microwave","OFF"
"10880","2014-08-24 18:08:00+00:00","115","dishwasher","ON"
"10893","2014-08-24 18:09:18+00:00","-149","dishwasher","OFF"
"10894","2014-08-24 18:09:24+00:00","-164","dishwasher","OFF"
"10899","2014-08-24 18:09:54+00:00","1898","microwave","ON"
"10910","2014-08-24 18:11:00+00:00","-1983","microwave","OFF"
"10937","2014-08-24 18:13:42+00:00","1885","microwave","ON"
"10947","2014-08-24 18:14:42+00:00","-1887","microwave","OFF"
"10973","2014-08-24 18:17:18+00:00","1923","microwave","ON"
"10984","2014-08-24 18:18:24+00:00","-1886","microwave","OFF"
"11010","2014-08-24 18:21:00+00:00","1880","microwave","ON"
"11020","2014-08-24 18:22:00+00:00","-1909","microwave","OFF"
"11045","2014-08-24 18:24:30+00:00","1918","microwave","ON"
"11055","2014-08-24 18:25:30+00:00","-1946","microwave","OFF"
"11080","2014-08-24 18:28:00+00:00","1913","microwave","ON"
"11090","2014-08-24 18:29:00+00:00","-1880","microwave","OFF"
"11116","2014-08-24 18:31:36+00:00","1906","microwave","ON"
"11125","2014-08-24 18:32:30+00:00","-1915","microwave","OFF"
"11131","2014-08-24 18:33:06+00:00","126","dishwasher","ON"
"11139","2014-08-24 18:33:54+00:00","384","washing_machine","ON"
"11216","2014-08-24 18:41:36+00:00","-173","dishwasher","OFF"
"11334","2014-08-24 18:53:24+00:00","-104","fridge","OFF"
"11335","2014-08-24 18:53:30+00:00","109","dishwasher","ON"
"11337","2014-08-24 18:53:42+00:00","-118","dishwasher","OFF"
"11338","2014-08-24 18:53:48+00:00","93","fridge","ON"
"11356","2014-08-24 18:55:36+00:00","103","fridge","ON"
"11362","2014-08-24 18:56:12+00:00","101","fridge","ON"
"11371","2014-08-24 18:57:06+00:00","-134","dishwasher","OFF"
"11372","2014-08-24 18:57:12+00:00","104","fridge","ON"
"11375","2014-08-24 18:57:30+00:00","190","washing_machine","ON"
"11376","2014-08-24 18:57:36+00:00","-195","washing_machine","OFF"
"11392","2014-08-24 18:59:12+00:00","136","dishwasher","ON"
"11393","2014-08-24 18:59:18+00:00","90","fridge","ON"
"11441","2014-08-24 19:04:06+00:00","140","dishwasher","ON"
"11525","2014-08-24 19:12:30+00:00","-139","dishwasher","OFF"
"11534","2014-08-24 19:13:24+00:00","-128","dishwasher","OFF"
"11535","2014-08-24 19:13:30+00:00","98","fridge","ON"
"11539","2014-08-24 19:13:54+00:00","154","dishwasher","ON"
"11552","2014-08-24 19:15:12+00:00","1906","microwave","ON"
"11564","2014-08-24 19:16:24+00:00","156","dishwasher","ON"
"11566","2014-08-24 19:16:36+00:00","-90","fridge","OFF"
"11585","2014-08-24 19:18:30+00:00","93","fridge","ON"
"11606","2014-08-24 19:20:36+00:00","131","dishwasher","ON"
"11609","2014-08-24 19:20:54+00:00","-130","dishwasher","OFF"
"11617","2014-08-24 19:21:42+00:00","130","dishwasher","ON"
"11624","2014-08-24 19:22:24+00:00","91","fridge","ON"
"11629","2014-08-24 19:22:54+00:00","106","dishwasher","ON"
"11639","2014-08-24 19:23:54+00:00","-108","dishwasher","OFF"
"11640","2014-08-24 19:24:00+00:00","159","dishwasher","ON"
"11645","2014-08-24 19:24:30+00:00","104","fridge","ON"
"11660","2014-08-24 19:26:00+00:00","94","fridge","ON"
"11662","2014-08-24 19:26:12+00:00","125","dishwasher","ON"
"11695","2014-08-24 19:29:30+00:00","-147","dishwasher","OFF"
"11704","2014-08-24 19:30:24+00:00","-117","dishwasher","OFF"
"11713","2014-08-24 19:31:18+00:00","-90.5","fridge","OFF"
"11728","2014-08-24 19:32:48+00:00","-90","fridge","OFF"
"11734","2014-08-24 19:33:24+00:00","94","fridge","ON"
"11735","2014-08-24 19:33:30+00:00","-102","fridge","OFF"
"11757","2014-08-24 19:35:42+00:00","-1403","microwave","OFF"
"11775","2014-08-24 19:37:30+00:00","-91","fridge","OFF"
"11789","2014-08-24 19:38:54+00:00","91","fridge","ON"
"11791","2014-08-24 19:39:06+00:00","237","washing_machine","ON"
"11793","2014-08-24 19:39:18+00:00","145","dishwasher","ON"
"11794","2014-08-24 19:39:24+00:00","-119","dishwasher","OFF"
"11819","2014-08-24 19:41:54+00:00","129","dishwasher","ON"
"11820","2014-08-24 19:42:00+00:00","-92","fridge","OFF"
"11996","2014-08-24 19:59:36+00:00","-90","fridge","OFF"
"12073","2014-08-24 20:07:18+00:00","-126","dishwasher","OFF"
"12105","2014-08-24 20:10:30+00:00","133","dishwasher","ON"
"12124","2014-08-24 20:12:24+00:00","1797","microwave","ON"
"12131","2014-08-24 20:13:06+00:00","105","dishwasher","ON"
"12132","2014-08-24 20:13:12+00:00","-127","dishwasher","OFF"
"12175","2014-08-24 20:17:30+00:00","95","fridge","ON"
"12184","2014-08-24 20:18:24+00:00","-94","fridge","OFF"
"12220","2014-08-24 20:22:00+00:00","141","dishwasher","ON"
"12225","2014-08-24 20:22:30+00:00","-119","dishwasher","OFF"
"12227","2014-08-24 20:22:42+00:00","122","dishwasher","ON"
"12228","2014-08-24 20:22:48+00:00","-100","fridge","OFF"
"12234","2014-08-24 20:23:24+00:00","129","dishwasher","ON"
"12235","2014-08-24 20:23:30+00:00","-154","dishwasher","OFF"
"12244","2014-08-24 20:24:24+00:00","111","dishwasher","ON"
"12245","2014-08-24 20:24:30+00:00","-90","fridge","OFF"
"12249","2014-08-24 20:24:54+00:00","-1785","microwave","OFF"
"12250","2014-08-24 20:25:00+00:00","1801","microwave","ON"
"12251","2014-08-24 20:25:06+00:00","98","fridge","ON"
"12252","2014-08-24 20:25:12+00:00","-125","dishwasher","OFF"
"12278","2014-08-24 20:27:48+00:00","95","fridge","ON"
"12284","2014-08-24 20:28:24+00:00","-1769","microwave","OFF"
"12304","2014-08-24 20:30:24+00:00","-93","fridge","OFF"
"12305","2014-08-24 20:30:30+00:00","92","fridge","ON"
"12406","2014-08-24 20:40:36+00:00","123","dishwasher","ON"
"12409","2014-08-24 20:40:54+00:00","-247","washing_machine","OFF"
"12421","2014-08-24 20:42:06+00:00","-129","dishwasher","OFF"
"12464","2014-08-24 20:46:24+00:00","-101","fridge","OFF"
"12466","2014-08-24 20:46:36+00:00","-127","dishwasher","OFF"
"12468","2014-08-24 20:46:48+00:00","242","washing_machine","ON"
"12475","2014-08-24 20:47:30+00:00","316","washing_machine","ON"
"12484","2014-08-24 20:48:24+00:00","-223","washing_machine","OFF"
"12489","2014-08-24 20:48:54+00:00","-95","fridge","OFF"
"12490","2014-08-24 20:49:00+00:00","100","fridge","ON"
"12491","2014-08-24 20:49:06+00:00","-96","fridge","OFF"
"12498","2014-08-24 20:49:48+00:00","-264","washing_machine","OFF"
"12535","2014-08-24 20:53:30+00:00","129","dishwasher","ON"
"12548","2014-08-24 20:54:48+00:00","158","dishwasher","ON"
"12550","2014-08-24 20:55:00+00:00","-128","dishwasher","OFF"
"12563","2014-08-24 20:56:18+00:00","-98","fridge","OFF"
"12566","2014-08-24 20:56:36+00:00","-97","fridge","OFF"
"12624","2014-08-24 21:02:24+00:00","102","fridge","ON"
"12628","2014-08-24 21:02:48+00:00","-99","fridge","OFF"
"12631","2014-08-24 21:03:06+00:00","-112","dishwasher","OFF"
"12981","2014-08-24 21:38:06+00:00","107","dishwasher","ON"
"12992","2014-08-24 21:39:12+00:00","101","fridge","ON"
"12993","2014-08-24 21:39:18+00:00","-92","fridge","OFF"
"12997","2014-08-24 21:39:42+00:00","-111","dishwasher","OFF"
"13133","2014-08-24 21:53:18+00:00","-107","dishwasher","OFF"
"13243","2014-08-24 22:04:18+00:00","105","dishwasher","ON"
"13270","2014-08-24 22:07:00+00:00","-111","dishwasher","OFF"
"13522","2014-08-24 22:32:12+00:00","114","dishwasher","ON"
"13560","2014-08-24 22:36:00+00:00","-93","fridge","OFF"
"13617","2014-08-24 22:41:42+00:00","-114","dishwasher","OFF"
"13912","2014-08-24 23:11:12+00:00","119","dishwasher","ON"
"13984","2014-08-24 23:18:24+00:00","96","fridge","ON"
"13994","2014-08-24 23:19:24+00:00","-93","fridge","OFF"
"14295","2014-08-24 23:49:30+00:00","98","fridge","ON"
"14312","2014-08-24 23:51:12+00:00","-96","fridge","OFF"
